column_name,root,sub_root,metric_type,time_horizon,unit,family,cohort_group,stem,cluster_key,reduction_group
day_utc,day,utc,utc,spot,none,Metadata,none,day_utc,Metadata | cohort=none | root=day | sub_root=utc | type=utc | time=spot | unit=none,Metadata | cohort=none
10y_cagr,cagr,none,cagr,10y,none,Benchmarks & DCA,none,10y_cagr,Benchmarks & DCA | cohort=none | root=cagr | sub_root=none | type=cagr | time=10y | unit=none,Benchmarks & DCA | cohort=none
10y_dca_average_price,dca,average,average_price,10y,none,Benchmarks & DCA,none,10y_dca_average_price,Benchmarks & DCA | cohort=none | root=dca | sub_root=average | type=average_price | time=10y | unit=none,Benchmarks & DCA | cohort=none
10y_dca_average_price_sats,dca,average,average_price,10y,sats,Benchmarks & DCA,none,10y_dca_average_price,Benchmarks & DCA | cohort=none | root=dca | sub_root=average | type=average_price | time=10y | unit=sats,Benchmarks & DCA | cohort=none
10y_dca_cagr,dca,cagr,cagr,10y,none,Benchmarks & DCA,none,10y_dca_cagr,Benchmarks & DCA | cohort=none | root=dca | sub_root=cagr | type=cagr | time=10y | unit=none,Benchmarks & DCA | cohort=none
10y_dca_days_in_loss,dca,days,loss,10y,none,Benchmarks & DCA,none,10y_dca_days_in_loss,Benchmarks & DCA | cohort=none | root=dca | sub_root=days | type=loss | time=10y | unit=none,Benchmarks & DCA | cohort=none
10y_dca_days_in_profit,dca,days,profit,10y,none,Benchmarks & DCA,none,10y_dca_days_in_profit,Benchmarks & DCA | cohort=none | root=dca | sub_root=days | type=profit | time=10y | unit=none,Benchmarks & DCA | cohort=none
10y_dca_max_return,dca,max,max_return,10y,none,Benchmarks & DCA,none,10y_dca_max_return,Benchmarks & DCA | cohort=none | root=dca | sub_root=max | type=max_return | time=10y | unit=none,Benchmarks & DCA | cohort=none
10y_dca_min_return,dca,min,min_return,10y,none,Benchmarks & DCA,none,10y_dca_min_return,Benchmarks & DCA | cohort=none | root=dca | sub_root=min | type=min_return | time=10y | unit=none,Benchmarks & DCA | cohort=none
10y_dca_returns,dca,returns,returns,10y,none,Benchmarks & DCA,none,10y_dca_returns,Benchmarks & DCA | cohort=none | root=dca | sub_root=returns | type=returns | time=10y | unit=none,Benchmarks & DCA | cohort=none
10y_dca_stack,dca,stack,stack,10y,none,Benchmarks & DCA,none,10y_dca_stack,Benchmarks & DCA | cohort=none | root=dca | sub_root=stack | type=stack | time=10y | unit=none,Benchmarks & DCA | cohort=none
10y_dca_stack_btc,dca,stack,stack,10y,btc,Benchmarks & DCA,none,10y_dca_stack,Benchmarks & DCA | cohort=none | root=dca | sub_root=stack | type=stack | time=10y | unit=btc,Benchmarks & DCA | cohort=none
10y_dca_stack_usd,dca,stack,stack,10y,usd,Benchmarks & DCA,none,10y_dca_stack,Benchmarks & DCA | cohort=none | root=dca | sub_root=stack | type=stack | time=10y | unit=usd,Benchmarks & DCA | cohort=none
10y_lump_sum_days_in_loss,lump,sum,sum_loss,10y,none,Benchmarks & DCA,none,10y_lump_sum_days_in_loss,Benchmarks & DCA | cohort=none | root=lump | sub_root=sum | type=sum_loss | time=10y | unit=none,Benchmarks & DCA | cohort=none
10y_lump_sum_days_in_profit,lump,sum,sum_profit,10y,none,Benchmarks & DCA,none,10y_lump_sum_days_in_profit,Benchmarks & DCA | cohort=none | root=lump | sub_root=sum | type=sum_profit | time=10y | unit=none,Benchmarks & DCA | cohort=none
10y_lump_sum_max_return,lump,sum,sum_max_return,10y,none,Benchmarks & DCA,none,10y_lump_sum_max_return,Benchmarks & DCA | cohort=none | root=lump | sub_root=sum | type=sum_max_return | time=10y | unit=none,Benchmarks & DCA | cohort=none
10y_lump_sum_returns,lump,sum,sum_returns,10y,none,Benchmarks & DCA,none,10y_lump_sum_returns,Benchmarks & DCA | cohort=none | root=lump | sub_root=sum | type=sum_returns | time=10y | unit=none,Benchmarks & DCA | cohort=none
10y_lump_sum_stack,lump,sum,sum_stack,10y,none,Benchmarks & DCA,none,10y_lump_sum_stack,Benchmarks & DCA | cohort=none | root=lump | sub_root=sum | type=sum_stack | time=10y | unit=none,Benchmarks & DCA | cohort=none
10y_lump_sum_stack_btc,lump,sum,sum_stack,10y,btc,Benchmarks & DCA,none,10y_lump_sum_stack,Benchmarks & DCA | cohort=none | root=lump | sub_root=sum | type=sum_stack | time=10y | unit=btc,Benchmarks & DCA | cohort=none
10y_lump_sum_stack_usd,lump,sum,sum_stack,10y,usd,Benchmarks & DCA,none,10y_lump_sum_stack,Benchmarks & DCA | cohort=none | root=lump | sub_root=sum | type=sum_stack | time=10y | unit=usd,Benchmarks & DCA | cohort=none
10y_price_returns,price,returns,price_returns,10y,none,Benchmarks & DCA,none,10y_price_returns,Benchmarks & DCA | cohort=none | root=price | sub_root=returns | type=price_returns | time=10y | unit=none,Benchmarks & DCA | cohort=none
1d_price_returns,price,returns,price_returns,1d,none,Benchmarks & DCA,none,1d_price_returns,Benchmarks & DCA | cohort=none | root=price | sub_root=returns | type=price_returns | time=1d | unit=none,Benchmarks & DCA | cohort=none
1m_block_count,block,count,count,1m,none,Benchmarks & DCA,none,1m_block_count,Benchmarks & DCA | cohort=none | root=block | sub_root=count | type=count | time=1m | unit=none,Benchmarks & DCA | cohort=none
1m_dca_average_price,dca,average,average_price,1m,none,Benchmarks & DCA,none,1m_dca_average_price,Benchmarks & DCA | cohort=none | root=dca | sub_root=average | type=average_price | time=1m | unit=none,Benchmarks & DCA | cohort=none
1m_dca_average_price_sats,dca,average,average_price,1m,sats,Benchmarks & DCA,none,1m_dca_average_price,Benchmarks & DCA | cohort=none | root=dca | sub_root=average | type=average_price | time=1m | unit=sats,Benchmarks & DCA | cohort=none
1m_dca_days_in_loss,dca,days,loss,1m,none,Benchmarks & DCA,none,1m_dca_days_in_loss,Benchmarks & DCA | cohort=none | root=dca | sub_root=days | type=loss | time=1m | unit=none,Benchmarks & DCA | cohort=none
1m_dca_days_in_profit,dca,days,profit,1m,none,Benchmarks & DCA,none,1m_dca_days_in_profit,Benchmarks & DCA | cohort=none | root=dca | sub_root=days | type=profit | time=1m | unit=none,Benchmarks & DCA | cohort=none
1m_dca_max_return,dca,max,max_return,1m,none,Benchmarks & DCA,none,1m_dca_max_return,Benchmarks & DCA | cohort=none | root=dca | sub_root=max | type=max_return | time=1m | unit=none,Benchmarks & DCA | cohort=none
1m_dca_min_return,dca,min,min_return,1m,none,Benchmarks & DCA,none,1m_dca_min_return,Benchmarks & DCA | cohort=none | root=dca | sub_root=min | type=min_return | time=1m | unit=none,Benchmarks & DCA | cohort=none
1m_dca_returns,dca,returns,returns,1m,none,Benchmarks & DCA,none,1m_dca_returns,Benchmarks & DCA | cohort=none | root=dca | sub_root=returns | type=returns | time=1m | unit=none,Benchmarks & DCA | cohort=none
1m_dca_stack,dca,stack,stack,1m,none,Benchmarks & DCA,none,1m_dca_stack,Benchmarks & DCA | cohort=none | root=dca | sub_root=stack | type=stack | time=1m | unit=none,Benchmarks & DCA | cohort=none
1m_dca_stack_btc,dca,stack,stack,1m,btc,Benchmarks & DCA,none,1m_dca_stack,Benchmarks & DCA | cohort=none | root=dca | sub_root=stack | type=stack | time=1m | unit=btc,Benchmarks & DCA | cohort=none
1m_dca_stack_usd,dca,stack,stack,1m,usd,Benchmarks & DCA,none,1m_dca_stack,Benchmarks & DCA | cohort=none | root=dca | sub_root=stack | type=stack | time=1m | unit=usd,Benchmarks & DCA | cohort=none
1m_lump_sum_days_in_loss,lump,sum,sum_loss,1m,none,Benchmarks & DCA,none,1m_lump_sum_days_in_loss,Benchmarks & DCA | cohort=none | root=lump | sub_root=sum | type=sum_loss | time=1m | unit=none,Benchmarks & DCA | cohort=none
1m_lump_sum_days_in_profit,lump,sum,sum_profit,1m,none,Benchmarks & DCA,none,1m_lump_sum_days_in_profit,Benchmarks & DCA | cohort=none | root=lump | sub_root=sum | type=sum_profit | time=1m | unit=none,Benchmarks & DCA | cohort=none
1m_lump_sum_max_return,lump,sum,sum_max_return,1m,none,Benchmarks & DCA,none,1m_lump_sum_max_return,Benchmarks & DCA | cohort=none | root=lump | sub_root=sum | type=sum_max_return | time=1m | unit=none,Benchmarks & DCA | cohort=none
1m_lump_sum_min_return,lump,sum,sum_min_return,1m,none,Benchmarks & DCA,none,1m_lump_sum_min_return,Benchmarks & DCA | cohort=none | root=lump | sub_root=sum | type=sum_min_return | time=1m | unit=none,Benchmarks & DCA | cohort=none
1m_lump_sum_returns,lump,sum,sum_returns,1m,none,Benchmarks & DCA,none,1m_lump_sum_returns,Benchmarks & DCA | cohort=none | root=lump | sub_root=sum | type=sum_returns | time=1m | unit=none,Benchmarks & DCA | cohort=none
1m_lump_sum_stack,lump,sum,sum_stack,1m,none,Benchmarks & DCA,none,1m_lump_sum_stack,Benchmarks & DCA | cohort=none | root=lump | sub_root=sum | type=sum_stack | time=1m | unit=none,Benchmarks & DCA | cohort=none
1m_lump_sum_stack_btc,lump,sum,sum_stack,1m,btc,Benchmarks & DCA,none,1m_lump_sum_stack,Benchmarks & DCA | cohort=none | root=lump | sub_root=sum | type=sum_stack | time=1m | unit=btc,Benchmarks & DCA | cohort=none
1m_lump_sum_stack_usd,lump,sum,sum_stack,1m,usd,Benchmarks & DCA,none,1m_lump_sum_stack,Benchmarks & DCA | cohort=none | root=lump | sub_root=sum | type=sum_stack | time=1m | unit=usd,Benchmarks & DCA | cohort=none
1m_price_returns,price,returns,price_returns,1m,none,Benchmarks & DCA,none,1m_price_returns,Benchmarks & DCA | cohort=none | root=price | sub_root=returns | type=price_returns | time=1m | unit=none,Benchmarks & DCA | cohort=none
1w_block_count,block,count,count,1w,none,Benchmarks & DCA,none,1w_block_count,Benchmarks & DCA | cohort=none | root=block | sub_root=count | type=count | time=1w | unit=none,Benchmarks & DCA | cohort=none
1w_dca_average_price,dca,average,average_price,1w,none,Benchmarks & DCA,none,1w_dca_average_price,Benchmarks & DCA | cohort=none | root=dca | sub_root=average | type=average_price | time=1w | unit=none,Benchmarks & DCA | cohort=none
1w_dca_average_price_sats,dca,average,average_price,1w,sats,Benchmarks & DCA,none,1w_dca_average_price,Benchmarks & DCA | cohort=none | root=dca | sub_root=average | type=average_price | time=1w | unit=sats,Benchmarks & DCA | cohort=none
1w_dca_days_in_loss,dca,days,loss,1w,none,Benchmarks & DCA,none,1w_dca_days_in_loss,Benchmarks & DCA | cohort=none | root=dca | sub_root=days | type=loss | time=1w | unit=none,Benchmarks & DCA | cohort=none
1w_dca_days_in_profit,dca,days,profit,1w,none,Benchmarks & DCA,none,1w_dca_days_in_profit,Benchmarks & DCA | cohort=none | root=dca | sub_root=days | type=profit | time=1w | unit=none,Benchmarks & DCA | cohort=none
1w_dca_max_return,dca,max,max_return,1w,none,Benchmarks & DCA,none,1w_dca_max_return,Benchmarks & DCA | cohort=none | root=dca | sub_root=max | type=max_return | time=1w | unit=none,Benchmarks & DCA | cohort=none
1w_dca_min_return,dca,min,min_return,1w,none,Benchmarks & DCA,none,1w_dca_min_return,Benchmarks & DCA | cohort=none | root=dca | sub_root=min | type=min_return | time=1w | unit=none,Benchmarks & DCA | cohort=none
1w_dca_returns,dca,returns,returns,1w,none,Benchmarks & DCA,none,1w_dca_returns,Benchmarks & DCA | cohort=none | root=dca | sub_root=returns | type=returns | time=1w | unit=none,Benchmarks & DCA | cohort=none
1w_dca_stack,dca,stack,stack,1w,none,Benchmarks & DCA,none,1w_dca_stack,Benchmarks & DCA | cohort=none | root=dca | sub_root=stack | type=stack | time=1w | unit=none,Benchmarks & DCA | cohort=none
1w_dca_stack_btc,dca,stack,stack,1w,btc,Benchmarks & DCA,none,1w_dca_stack,Benchmarks & DCA | cohort=none | root=dca | sub_root=stack | type=stack | time=1w | unit=btc,Benchmarks & DCA | cohort=none
1w_dca_stack_usd,dca,stack,stack,1w,usd,Benchmarks & DCA,none,1w_dca_stack,Benchmarks & DCA | cohort=none | root=dca | sub_root=stack | type=stack | time=1w | unit=usd,Benchmarks & DCA | cohort=none
1w_lump_sum_days_in_loss,lump,sum,sum_loss,1w,none,Benchmarks & DCA,none,1w_lump_sum_days_in_loss,Benchmarks & DCA | cohort=none | root=lump | sub_root=sum | type=sum_loss | time=1w | unit=none,Benchmarks & DCA | cohort=none
1w_lump_sum_days_in_profit,lump,sum,sum_profit,1w,none,Benchmarks & DCA,none,1w_lump_sum_days_in_profit,Benchmarks & DCA | cohort=none | root=lump | sub_root=sum | type=sum_profit | time=1w | unit=none,Benchmarks & DCA | cohort=none
1w_lump_sum_max_return,lump,sum,sum_max_return,1w,none,Benchmarks & DCA,none,1w_lump_sum_max_return,Benchmarks & DCA | cohort=none | root=lump | sub_root=sum | type=sum_max_return | time=1w | unit=none,Benchmarks & DCA | cohort=none
1w_lump_sum_min_return,lump,sum,sum_min_return,1w,none,Benchmarks & DCA,none,1w_lump_sum_min_return,Benchmarks & DCA | cohort=none | root=lump | sub_root=sum | type=sum_min_return | time=1w | unit=none,Benchmarks & DCA | cohort=none
1w_lump_sum_returns,lump,sum,sum_returns,1w,none,Benchmarks & DCA,none,1w_lump_sum_returns,Benchmarks & DCA | cohort=none | root=lump | sub_root=sum | type=sum_returns | time=1w | unit=none,Benchmarks & DCA | cohort=none
1w_lump_sum_stack,lump,sum,sum_stack,1w,none,Benchmarks & DCA,none,1w_lump_sum_stack,Benchmarks & DCA | cohort=none | root=lump | sub_root=sum | type=sum_stack | time=1w | unit=none,Benchmarks & DCA | cohort=none
1w_lump_sum_stack_btc,lump,sum,sum_stack,1w,btc,Benchmarks & DCA,none,1w_lump_sum_stack,Benchmarks & DCA | cohort=none | root=lump | sub_root=sum | type=sum_stack | time=1w | unit=btc,Benchmarks & DCA | cohort=none
1w_lump_sum_stack_usd,lump,sum,sum_stack,1w,usd,Benchmarks & DCA,none,1w_lump_sum_stack,Benchmarks & DCA | cohort=none | root=lump | sub_root=sum | type=sum_stack | time=1w | unit=usd,Benchmarks & DCA | cohort=none
1w_price_returns,price,returns,price_returns,1w,none,Benchmarks & DCA,none,1w_price_returns,Benchmarks & DCA | cohort=none | root=price | sub_root=returns | type=price_returns | time=1w | unit=none,Benchmarks & DCA | cohort=none
1y_block_count,block,count,count,1y,none,Benchmarks & DCA,none,1y_block_count,Benchmarks & DCA | cohort=none | root=block | sub_root=count | type=count | time=1y | unit=none,Benchmarks & DCA | cohort=none
1y_dca_average_price,dca,average,average_price,1y,none,Benchmarks & DCA,none,1y_dca_average_price,Benchmarks & DCA | cohort=none | root=dca | sub_root=average | type=average_price | time=1y | unit=none,Benchmarks & DCA | cohort=none
1y_dca_average_price_sats,dca,average,average_price,1y,sats,Benchmarks & DCA,none,1y_dca_average_price,Benchmarks & DCA | cohort=none | root=dca | sub_root=average | type=average_price | time=1y | unit=sats,Benchmarks & DCA | cohort=none
1y_dca_days_in_loss,dca,days,loss,1y,none,Benchmarks & DCA,none,1y_dca_days_in_loss,Benchmarks & DCA | cohort=none | root=dca | sub_root=days | type=loss | time=1y | unit=none,Benchmarks & DCA | cohort=none
1y_dca_days_in_profit,dca,days,profit,1y,none,Benchmarks & DCA,none,1y_dca_days_in_profit,Benchmarks & DCA | cohort=none | root=dca | sub_root=days | type=profit | time=1y | unit=none,Benchmarks & DCA | cohort=none
1y_dca_max_return,dca,max,max_return,1y,none,Benchmarks & DCA,none,1y_dca_max_return,Benchmarks & DCA | cohort=none | root=dca | sub_root=max | type=max_return | time=1y | unit=none,Benchmarks & DCA | cohort=none
1y_dca_min_return,dca,min,min_return,1y,none,Benchmarks & DCA,none,1y_dca_min_return,Benchmarks & DCA | cohort=none | root=dca | sub_root=min | type=min_return | time=1y | unit=none,Benchmarks & DCA | cohort=none
1y_dca_returns,dca,returns,returns,1y,none,Benchmarks & DCA,none,1y_dca_returns,Benchmarks & DCA | cohort=none | root=dca | sub_root=returns | type=returns | time=1y | unit=none,Benchmarks & DCA | cohort=none
1y_dca_stack,dca,stack,stack,1y,none,Benchmarks & DCA,none,1y_dca_stack,Benchmarks & DCA | cohort=none | root=dca | sub_root=stack | type=stack | time=1y | unit=none,Benchmarks & DCA | cohort=none
1y_dca_stack_btc,dca,stack,stack,1y,btc,Benchmarks & DCA,none,1y_dca_stack,Benchmarks & DCA | cohort=none | root=dca | sub_root=stack | type=stack | time=1y | unit=btc,Benchmarks & DCA | cohort=none
1y_dca_stack_usd,dca,stack,stack,1y,usd,Benchmarks & DCA,none,1y_dca_stack,Benchmarks & DCA | cohort=none | root=dca | sub_root=stack | type=stack | time=1y | unit=usd,Benchmarks & DCA | cohort=none
1y_lump_sum_days_in_loss,lump,sum,sum_loss,1y,none,Benchmarks & DCA,none,1y_lump_sum_days_in_loss,Benchmarks & DCA | cohort=none | root=lump | sub_root=sum | type=sum_loss | time=1y | unit=none,Benchmarks & DCA | cohort=none
1y_lump_sum_days_in_profit,lump,sum,sum_profit,1y,none,Benchmarks & DCA,none,1y_lump_sum_days_in_profit,Benchmarks & DCA | cohort=none | root=lump | sub_root=sum | type=sum_profit | time=1y | unit=none,Benchmarks & DCA | cohort=none
1y_lump_sum_max_return,lump,sum,sum_max_return,1y,none,Benchmarks & DCA,none,1y_lump_sum_max_return,Benchmarks & DCA | cohort=none | root=lump | sub_root=sum | type=sum_max_return | time=1y | unit=none,Benchmarks & DCA | cohort=none
1y_lump_sum_min_return,lump,sum,sum_min_return,1y,none,Benchmarks & DCA,none,1y_lump_sum_min_return,Benchmarks & DCA | cohort=none | root=lump | sub_root=sum | type=sum_min_return | time=1y | unit=none,Benchmarks & DCA | cohort=none
1y_lump_sum_returns,lump,sum,sum_returns,1y,none,Benchmarks & DCA,none,1y_lump_sum_returns,Benchmarks & DCA | cohort=none | root=lump | sub_root=sum | type=sum_returns | time=1y | unit=none,Benchmarks & DCA | cohort=none
1y_lump_sum_stack,lump,sum,sum_stack,1y,none,Benchmarks & DCA,none,1y_lump_sum_stack,Benchmarks & DCA | cohort=none | root=lump | sub_root=sum | type=sum_stack | time=1y | unit=none,Benchmarks & DCA | cohort=none
1y_lump_sum_stack_btc,lump,sum,sum_stack,1y,btc,Benchmarks & DCA,none,1y_lump_sum_stack,Benchmarks & DCA | cohort=none | root=lump | sub_root=sum | type=sum_stack | time=1y | unit=btc,Benchmarks & DCA | cohort=none
1y_lump_sum_stack_usd,lump,sum,sum_stack,1y,usd,Benchmarks & DCA,none,1y_lump_sum_stack,Benchmarks & DCA | cohort=none | root=lump | sub_root=sum | type=sum_stack | time=1y | unit=usd,Benchmarks & DCA | cohort=none
1y_price_returns,price,returns,price_returns,1y,none,Benchmarks & DCA,none,1y_price_returns,Benchmarks & DCA | cohort=none | root=price | sub_root=returns | type=price_returns | time=1y | unit=none,Benchmarks & DCA | cohort=none
24h_block_count,block,count,count,24h,none,Benchmarks & DCA,none,24h_block_count,Benchmarks & DCA | cohort=none | root=block | sub_root=count | type=count | time=24h | unit=none,Benchmarks & DCA | cohort=none
2y_cagr,cagr,none,cagr,2y,none,Benchmarks & DCA,none,2y_cagr,Benchmarks & DCA | cohort=none | root=cagr | sub_root=none | type=cagr | time=2y | unit=none,Benchmarks & DCA | cohort=none
2y_dca_average_price,dca,average,average_price,2y,none,Benchmarks & DCA,none,2y_dca_average_price,Benchmarks & DCA | cohort=none | root=dca | sub_root=average | type=average_price | time=2y | unit=none,Benchmarks & DCA | cohort=none
2y_dca_average_price_sats,dca,average,average_price,2y,sats,Benchmarks & DCA,none,2y_dca_average_price,Benchmarks & DCA | cohort=none | root=dca | sub_root=average | type=average_price | time=2y | unit=sats,Benchmarks & DCA | cohort=none
2y_dca_cagr,dca,cagr,cagr,2y,none,Benchmarks & DCA,none,2y_dca_cagr,Benchmarks & DCA | cohort=none | root=dca | sub_root=cagr | type=cagr | time=2y | unit=none,Benchmarks & DCA | cohort=none
2y_dca_days_in_loss,dca,days,loss,2y,none,Benchmarks & DCA,none,2y_dca_days_in_loss,Benchmarks & DCA | cohort=none | root=dca | sub_root=days | type=loss | time=2y | unit=none,Benchmarks & DCA | cohort=none
2y_dca_days_in_profit,dca,days,profit,2y,none,Benchmarks & DCA,none,2y_dca_days_in_profit,Benchmarks & DCA | cohort=none | root=dca | sub_root=days | type=profit | time=2y | unit=none,Benchmarks & DCA | cohort=none
2y_dca_max_return,dca,max,max_return,2y,none,Benchmarks & DCA,none,2y_dca_max_return,Benchmarks & DCA | cohort=none | root=dca | sub_root=max | type=max_return | time=2y | unit=none,Benchmarks & DCA | cohort=none
2y_dca_min_return,dca,min,min_return,2y,none,Benchmarks & DCA,none,2y_dca_min_return,Benchmarks & DCA | cohort=none | root=dca | sub_root=min | type=min_return | time=2y | unit=none,Benchmarks & DCA | cohort=none
2y_dca_returns,dca,returns,returns,2y,none,Benchmarks & DCA,none,2y_dca_returns,Benchmarks & DCA | cohort=none | root=dca | sub_root=returns | type=returns | time=2y | unit=none,Benchmarks & DCA | cohort=none
2y_dca_stack,dca,stack,stack,2y,none,Benchmarks & DCA,none,2y_dca_stack,Benchmarks & DCA | cohort=none | root=dca | sub_root=stack | type=stack | time=2y | unit=none,Benchmarks & DCA | cohort=none
2y_dca_stack_btc,dca,stack,stack,2y,btc,Benchmarks & DCA,none,2y_dca_stack,Benchmarks & DCA | cohort=none | root=dca | sub_root=stack | type=stack | time=2y | unit=btc,Benchmarks & DCA | cohort=none
2y_dca_stack_usd,dca,stack,stack,2y,usd,Benchmarks & DCA,none,2y_dca_stack,Benchmarks & DCA | cohort=none | root=dca | sub_root=stack | type=stack | time=2y | unit=usd,Benchmarks & DCA | cohort=none
2y_lump_sum_days_in_loss,lump,sum,sum_loss,2y,none,Benchmarks & DCA,none,2y_lump_sum_days_in_loss,Benchmarks & DCA | cohort=none | root=lump | sub_root=sum | type=sum_loss | time=2y | unit=none,Benchmarks & DCA | cohort=none
2y_lump_sum_days_in_profit,lump,sum,sum_profit,2y,none,Benchmarks & DCA,none,2y_lump_sum_days_in_profit,Benchmarks & DCA | cohort=none | root=lump | sub_root=sum | type=sum_profit | time=2y | unit=none,Benchmarks & DCA | cohort=none
2y_lump_sum_max_return,lump,sum,sum_max_return,2y,none,Benchmarks & DCA,none,2y_lump_sum_max_return,Benchmarks & DCA | cohort=none | root=lump | sub_root=sum | type=sum_max_return | time=2y | unit=none,Benchmarks & DCA | cohort=none
2y_lump_sum_min_return,lump,sum,sum_min_return,2y,none,Benchmarks & DCA,none,2y_lump_sum_min_return,Benchmarks & DCA | cohort=none | root=lump | sub_root=sum | type=sum_min_return | time=2y | unit=none,Benchmarks & DCA | cohort=none
2y_lump_sum_returns,lump,sum,sum_returns,2y,none,Benchmarks & DCA,none,2y_lump_sum_returns,Benchmarks & DCA | cohort=none | root=lump | sub_root=sum | type=sum_returns | time=2y | unit=none,Benchmarks & DCA | cohort=none
2y_lump_sum_stack,lump,sum,sum_stack,2y,none,Benchmarks & DCA,none,2y_lump_sum_stack,Benchmarks & DCA | cohort=none | root=lump | sub_root=sum | type=sum_stack | time=2y | unit=none,Benchmarks & DCA | cohort=none
2y_lump_sum_stack_btc,lump,sum,sum_stack,2y,btc,Benchmarks & DCA,none,2y_lump_sum_stack,Benchmarks & DCA | cohort=none | root=lump | sub_root=sum | type=sum_stack | time=2y | unit=btc,Benchmarks & DCA | cohort=none
2y_lump_sum_stack_usd,lump,sum,sum_stack,2y,usd,Benchmarks & DCA,none,2y_lump_sum_stack,Benchmarks & DCA | cohort=none | root=lump | sub_root=sum | type=sum_stack | time=2y | unit=usd,Benchmarks & DCA | cohort=none
2y_price_returns,price,returns,price_returns,2y,none,Benchmarks & DCA,none,2y_price_returns,Benchmarks & DCA | cohort=none | root=price | sub_root=returns | type=price_returns | time=2y | unit=none,Benchmarks & DCA | cohort=none
3m_dca_average_price,dca,average,average_price,3m,none,Benchmarks & DCA,none,3m_dca_average_price,Benchmarks & DCA | cohort=none | root=dca | sub_root=average | type=average_price | time=3m | unit=none,Benchmarks & DCA | cohort=none
3m_dca_average_price_sats,dca,average,average_price,3m,sats,Benchmarks & DCA,none,3m_dca_average_price,Benchmarks & DCA | cohort=none | root=dca | sub_root=average | type=average_price | time=3m | unit=sats,Benchmarks & DCA | cohort=none
3m_dca_days_in_loss,dca,days,loss,3m,none,Benchmarks & DCA,none,3m_dca_days_in_loss,Benchmarks & DCA | cohort=none | root=dca | sub_root=days | type=loss | time=3m | unit=none,Benchmarks & DCA | cohort=none
3m_dca_days_in_profit,dca,days,profit,3m,none,Benchmarks & DCA,none,3m_dca_days_in_profit,Benchmarks & DCA | cohort=none | root=dca | sub_root=days | type=profit | time=3m | unit=none,Benchmarks & DCA | cohort=none
3m_dca_max_return,dca,max,max_return,3m,none,Benchmarks & DCA,none,3m_dca_max_return,Benchmarks & DCA | cohort=none | root=dca | sub_root=max | type=max_return | time=3m | unit=none,Benchmarks & DCA | cohort=none
3m_dca_min_return,dca,min,min_return,3m,none,Benchmarks & DCA,none,3m_dca_min_return,Benchmarks & DCA | cohort=none | root=dca | sub_root=min | type=min_return | time=3m | unit=none,Benchmarks & DCA | cohort=none
3m_dca_returns,dca,returns,returns,3m,none,Benchmarks & DCA,none,3m_dca_returns,Benchmarks & DCA | cohort=none | root=dca | sub_root=returns | type=returns | time=3m | unit=none,Benchmarks & DCA | cohort=none
3m_dca_stack,dca,stack,stack,3m,none,Benchmarks & DCA,none,3m_dca_stack,Benchmarks & DCA | cohort=none | root=dca | sub_root=stack | type=stack | time=3m | unit=none,Benchmarks & DCA | cohort=none
3m_dca_stack_btc,dca,stack,stack,3m,btc,Benchmarks & DCA,none,3m_dca_stack,Benchmarks & DCA | cohort=none | root=dca | sub_root=stack | type=stack | time=3m | unit=btc,Benchmarks & DCA | cohort=none
3m_dca_stack_usd,dca,stack,stack,3m,usd,Benchmarks & DCA,none,3m_dca_stack,Benchmarks & DCA | cohort=none | root=dca | sub_root=stack | type=stack | time=3m | unit=usd,Benchmarks & DCA | cohort=none
3m_lump_sum_days_in_loss,lump,sum,sum_loss,3m,none,Benchmarks & DCA,none,3m_lump_sum_days_in_loss,Benchmarks & DCA | cohort=none | root=lump | sub_root=sum | type=sum_loss | time=3m | unit=none,Benchmarks & DCA | cohort=none
3m_lump_sum_days_in_profit,lump,sum,sum_profit,3m,none,Benchmarks & DCA,none,3m_lump_sum_days_in_profit,Benchmarks & DCA | cohort=none | root=lump | sub_root=sum | type=sum_profit | time=3m | unit=none,Benchmarks & DCA | cohort=none
3m_lump_sum_max_return,lump,sum,sum_max_return,3m,none,Benchmarks & DCA,none,3m_lump_sum_max_return,Benchmarks & DCA | cohort=none | root=lump | sub_root=sum | type=sum_max_return | time=3m | unit=none,Benchmarks & DCA | cohort=none
3m_lump_sum_min_return,lump,sum,sum_min_return,3m,none,Benchmarks & DCA,none,3m_lump_sum_min_return,Benchmarks & DCA | cohort=none | root=lump | sub_root=sum | type=sum_min_return | time=3m | unit=none,Benchmarks & DCA | cohort=none
3m_lump_sum_returns,lump,sum,sum_returns,3m,none,Benchmarks & DCA,none,3m_lump_sum_returns,Benchmarks & DCA | cohort=none | root=lump | sub_root=sum | type=sum_returns | time=3m | unit=none,Benchmarks & DCA | cohort=none
3m_lump_sum_stack,lump,sum,sum_stack,3m,none,Benchmarks & DCA,none,3m_lump_sum_stack,Benchmarks & DCA | cohort=none | root=lump | sub_root=sum | type=sum_stack | time=3m | unit=none,Benchmarks & DCA | cohort=none
3m_lump_sum_stack_btc,lump,sum,sum_stack,3m,btc,Benchmarks & DCA,none,3m_lump_sum_stack,Benchmarks & DCA | cohort=none | root=lump | sub_root=sum | type=sum_stack | time=3m | unit=btc,Benchmarks & DCA | cohort=none
